location_id,address,latitude,longitude
LOC001,"288 Tonya Fords Suite 639, East Timothy, KY 44664",25.22951171272329,55.16238288395123
LOC002,"9661 Frey Garden Suite 992, Port Stephenstad, VA 80660",25.178751117114224,55.285628981173986
LOC003,"6006 Alex Rest Apt. 896, East Jessica, VT 11921",25.12617827870033,55.12778722086202
LOC004,"192 Walker Landing Apt. 352, Williamsmouth, SD 82111",25.02377481836657,55.30012905334468
LOC005,"9651 Erica Canyon Suite 418, Lake Mario, MD 34445",25.046348740085477,55.311157333063214
LOC006,"1085 Hopkins Highway, Reedfort, PA 21564",25.183279586786796,55.327733332467176
LOC007,"65464 Randall Orchard, West Robertmouth, PW 67811",25.016809756595283,55.336974276510524
LOC008,"80612 Samantha River, New Lance, WA 00874",25.178086413350243,55.14296682344961
LOC009,"2064 Gina Walk Suite 067, South Kristenburgh, RI 79157",25.051329354592845,55.32532036286953
LOC010,"60283 Key Club Apt. 551, West Tommyview, OK 08242",25.196098912568242,55.3483968033494
LOC011,"871 Anderson Squares, Tannermouth, NJ 93061",25.246602469257194,55.33355641028836
LOC012,"5394 Tiffany Pass Apt. 214, Blakehaven, VT 43817",25.11509730869572,55.172808465998436
LOC013,"56454 Ford Ranch, North Charlesside, MP 80449",25.238624510565625,55.32090612537294
LOC014,"661 Alicia Station Apt. 929, Greenville, CO 44874",25.21975450946194,55.13927732058348
LOC015,"756 Joshua Trail, West Joshuaton, WV 24732",25.186793125244446,55.22674177403318
LOC016,"60064 Jeffrey Landing, West Jenniferport, UT 76417",25.150995252986384,55.17430468806953
LOC017,"9075 Meghan Fords Apt. 811, East Jeremiahchester, RI 80119",25.155504179110473,55.273233889932335
LOC018,"086 Webb Hollow Apt. 859, Jimenezmouth, AR 79452",25.036497353558286,55.31942115183968
LOC019,"3525 Jason Walk Apt. 582, Emilyfort, GU 97156",25.01823045835789,55.26519359332531
LOC020,"551 Holmes Dale Apt. 979, South Kathleentown, DE 63682",25.119543662800798,55.24871075344324
LOC021,"380 Shaffer Pass Suite 793, Lake Jasmineton, MT 77269",25.076077937109645,55.25657971330732
LOC022,"2376 Robert Shoals Suite 881, East Jennifer, TN 22128",25.2090129279683,55.232109918858974
LOC023,"622 Hill Knolls, Williamshaven, NE 21261",25.011889665498533,55.21565885381881
LOC024,"14179 Howard Heights, New Robert, IA 59314",25.055626543928767,55.166979825683065
LOC025,"USNV Clark, FPO AE 24165",25.247040424282574,55.112700556499746
LOC026,"9854 Aaron Cliff Suite 159, Thompsonmouth, WA 38280",25.132259126730236,55.263401342842016
LOC027,"79267 Garcia Forge Apt. 832, Port Sarahton, PR 09218",25.081030422723067,55.11968335498426
LOC028,"PSC 1297, Box 6260, APO AP 39444",25.164024775945418,55.124113022931255
LOC029,"161 Griffin Points, West Jamesbury, ID 36771",25.243011705190135,55.32609895257226
LOC030,"5274 Melissa Station Apt. 783, West Michael, CT 75278",25.22270034255567,55.37045766077423
LOC031,"869 Jones Inlet Apt. 596, Priscillaton, GA 61128",25.201827548757006,55.33205024956182
LOC032,"203 Doyle Ville Apt. 286, Jenniferfort, IL 23613",25.16810855819929,55.23750621181245
LOC033,"742 Ethan Port Suite 271, Port David, AZ 48879",25.069614518655392,55.15113414150919
LOC034,"17725 Robinson Squares, Timothymouth, UT 71308",25.15458034071507,55.31063335272533
LOC035,"USS Black, FPO AE 02237",25.200646794460443,55.287283212251396
LOC036,"8809 Michele Valleys, Lake Maureenmouth, DE 01746",25.04635806789389,55.14726330611973
LOC037,"962 Weiss Ferry, East Christopher, ME 08429",25.084849592585638,55.139382610562954
LOC038,"25232 Johnson Loop, North Ericburgh, GA 52429",25.0989277454934,55.29749818008569
LOC039,"84490 Eugene Junctions, Hernandezport, CA 28743",25.1236955391967,55.11486069622269
LOC040,"8395 Gary Points Apt. 849, Harperhaven, GU 12312",25.235064070236874,55.34478117814519
